ID,Yards,OffensivePlays,TurnOversLost,FumblesLost,FirstDowns,PassesCompleted,PassesAttempted,YardsGainedPassing,InterceptionsThrown,RushingAttempts,YardsGainedRushing,PenaltiesCommitedByTeam,PenaltiesInYards,FirstDownsByPenalty,NumberOfDrives,OppYards,OppOffensivePlays,OppTurnOversLost,OppFumblesLost,OppFirstDowns,OppPassesCompleted,OppPassesAttempted,OppYardsGainedPassing,OppInterceptionsThrown,OppRushingAttempts,OppYardsGainedRushing,OppPenaltiesCommitedByTeam,OppPenaltiesInYards,OppFirstDownsByPenalty,OppNumberOfDrives,Wins
1,5340,1000,31,11,275,298,519,3340,20,437,2000,116,912,17,194,5819,1029,22,13,330,374,549,4092,9,442,1727,87,686,28,189,4
2,6138,1014,25,14,342,328,476,3784,11,508,2354,105,839,31,179,5681,978,31,13,315,371,558,4031,18,392,1650,104,861,34,179,12
3,5362,955,19,13,288,306,494,3361,6,431,2001,100,837,19,172,5323,991,28,9,307,307,521,3216,19,444,2107,79,676,18,177,10
4,5728,1004,17,8,324,334,505,3923,9,467,1805,111,917,34,182,5453,1032,28,7,307,415,646,3976,21,344,1477,116,1063,31,180,12
5,4788,994,26,9,269,328,586,3419,17,358,1369,101,955,36,196,6088,1100,23,11,364,341,535,3832,12,545,2256,101,820,37,191,2
6,5868,1086,28,11,368,383,646,4136,17,399,1732,104,889,42,197,4883,1019,28,14,293,344,547,3365,14,424,1518,123,1010,28,194,7
7,5299,955,15,8,303,310,473,3255,7,436,2044,104,878,32,182,5269,1037,29,7,313,349,607,3698,22,383,1571,110,941,34,183,11
8,5039,1042,24,11,294,320,537,3432,13,473,1607,111,998,26,204,4666,1060,41,12,293,328,618,3232,29,401,1434,107,845,25,200,14
9,5925,1074,24,8,329,362,604,4057,16,448,1868,96,787,20,199,5098,1013,30,12,271,343,601,3763,18,373,1335,90,767,24,194,10
10,4860,969,17,5,261,322,526,3316,12,390,1544,113,823,24,182,6199,1081,12,3,356,375,549,4179,9,504,2020,112,920,29,182,5
11,5013,945,23,8,251,282,500,3356,15,401,1657,112,933,17,190,5244,1033,22,7,299,358,550,3697,15,447,1547,97,839,25,195,6
12,5140,1004,32,10,286,324,536,3301,22,437,1839,103,810,21,202,5365,1031,36,16,303,313,520,3303,20,474,2062,106,887,22,195,8
13,5874,1041,20,10,348,381,569,4179,10,453,1695,92,662,32,177,4789,913,30,15,279,277,445,2809,15,437,1980,123,1005,24,176,12
14,4978,961,35,16,287,309,509,3379,19,397,1599,98,732,28,185,5216,1027,18,6,293,331,545,3507,12,452,1709,111,869,19,184,7
15,4404,1022,42,16,267,309,586,3065,26,384,1339,112,852,31,210,4894,1009,25,10,281,244,434,2592,15,539,2302,107,852,35,205,4
16,5106,1005,24,11,312,335,537,3332,13,426,1774,104,813,22,172,5295,922,17,4,289,297,465,3586,13,428,1709,80,691,25,170,5
17,6047,1051,20,5,348,384,590,4380,15,437,1667,101,897,35,179,4910,940,22,6,270,297,499,3217,16,385,1693,110,1041,24,178,13
18,6178,1001,13,7,356,349,536,4261,6,435,1917,92,775,30,169,5542,1054,27,9,339,333,564,3623,18,449,1919,104,945,27,175,12
19,5072,1017,23,9,282,328,524,3435,14,476,1637,109,878,17,192,4225,936,40,12,236,279,509,3011,28,367,1214,79,580,26,195,13
20,4949,963,39,17,290,372,596,3820,22,304,1129,116,939,29,185,5530,1033,30,18,319,339,511,3520,12,492,2010,102,869,25,185,3
21,5582,1018,27,15,309,334,580,4038,12,398,1544,98,944,24,196,6253,1056,18,8,334,297,502,3780,10,531,2473,98,921,24,199,4
22,5847,1095,21,10,356,339,534,3569,11,513,2278,57,501,25,174,4944,920,22,8,268,288,474,3222,14,415,1722,81,636,14,170,11
23,4490,981,36,14,256,303,534,2959,22,403,1531,98,761,29,185,5504,993,23,10,326,311,497,3589,13,475,1915,86,754,22,185,4
24,5324,1023,30,16,307,354,574,3787,14,412,1537,92,938,25,186,4413,951,20,10,273,299,523,2963,10,391,1450,100,882,26,182,8
25,5826,1059,27,13,323,338,549,3951,14,486,1875,113,955,33,189,4949,985,25,14,266,311,541,3119,11,407,1830,120,897,17,185,10
26,4306,896,27,9,237,248,439,2655,18,421,1651,121,961,24,188,6082,1054,22,8,336,297,502,3712,14,533,2370,96,767,27,184,5
27,5634,1034,27,9,320,304,532,3539,18,468,2095,79,669,21,193,5621,1047,35,12,311,340,559,3590,23,452,2031,91,748,18,193,9
28,6810,996,18,6,384,385,583,4955,12,387,1855,137,1152,37,171,6488,1109,27,12,419,406,632,4374,15,425,2114,107,881,43,174,12
29,4385,927,27,12,265,262,474,2617,15,417,1768,79,601,19,176,6048,1058,20,11,324,366,566,4149,9,457,1899,81,671,19,187,4
30,6676,1054,19,10,355,310,508,4110,9,500,2566,95,846,25,201,6304,1150,31,12,368,408,670,4636,19,443,1668,106,855,29,196,10
31,6026,1020,15,4,337,366,583,4431,11,419,1595,108,927,33,177,5254,997,27,9,282,329,524,3156,18,430,2098,109,996,30,179,9
32,5508,1013,32,13,309,325,546,3427,19,423,2081,70,695,30,195,6362,1132,20,8,368,419,648,4595,12,443,1767,100,1003,20,197,5
33,5598,1047,24,6,334,280,479,2969,18,543,2629,107,922,39,183,4433,910,20,11,241,265,495,2828,9,379,1605,137,1031,23,185,10
34,5725,1041,37,14,327,312,523,3733,23,469,1992,69,611,26,188,4805,976,29,9,269,319,529,3393,20,408,1412,104,862,21,188,8
35,5041,1006,16,11,303,414,588,3836,5,380,1205,103,882,28,174,5038,993,27,13,304,332,548,3327,14,404,1711,99,825,31,177,8
36,5505,1016,36,12,308,356,590,4065,24,402,1440,137,1128,28,197,5283,1013,29,11,298,361,570,3716,18,407,1567,118,881,23,192,8
37,5264,1002,22,8,287,332,557,3550,14,410,1714,130,978,19,182,5482,1041,21,4,327,362,547,3602,17,442,1880,90,758,23,185,7
38,4357,930,31,10,252,230,460,2408,21,435,1949,90,790,26,201,6108,1043,31,16,333,323,508,3800,15,499,2308,130,1001,24,203,5
39,6192,1059,23,13,347,317,507,3810,10,520,2382,115,890,27,183,5249,971,31,15,292,325,559,3679,16,383,1570,90,805,19,177,10
40,5166,1018,20,10,303,308,491,3335,10,487,1831,90,673,31,189,5102,1007,27,8,284,349,596,3599,19,384,1503,117,984,18,185,12
41,5109,1027,34,14,282,337,620,3677,20,365,1432,134,1130,27,218,5206,1038,27,10,290,297,503,3323,17,506,1883,112,910,28,209,6
42,5108,966,40,16,277,365,588,3650,24,346,1458,123,1007,23,181,6311,1002,24,10,356,301,481,3814,14,498,2497,95,786,33,184,4
43,4984,981,26,13,288,293,504,3182,13,440,1802,82,724,37,186,5708,1073,16,6,320,353,600,3974,10,431,1734,121,1045,26,183,7
44,6226,1010,18,11,352,428,617,4653,7,351,1573,101,899,30,168,6152,1031,19,4,375,398,585,4153,15,409,1999,108,1001,34,171,7
45,5336,1008,24,10,300,373,605,3879,14,370,1457,139,1102,33,195,5818,1085,25,11,344,404,641,4140,14,406,1678,104,943,44,191,7
46,4693,1056,36,15,286,335,562,3088,21,452,1605,139,1067,26,191,4549,998,26,15,277,296,525,2958,11,431,1591,110,844,37,190,6
47,5852,1073,20,11,338,341,564,3737,9,473,2115,116,962,37,191,4904,976,31,12,272,363,601,3637,19,337,1267,101,917,33,188,13
48,6506,1105,31,15,371,410,661,4894,16,415,1612,105,848,40,205,5483,1007,26,14,309,320,543,3669,12,423,1814,101,866,31,199,11
49,5957,1015,28,13,341,341,539,4054,15,434,1903,101,854,24,168,4348,964,15,4,264,289,530,2751,11,399,1597,96,777,26,169,12
50,5542,1037,31,9,329,363,574,4002,22,422,1540,96,744,40,200,5079,1042,30,10,309,367,625,3728,20,370,1351,111,960,33,204,10
51,4939,957,24,8,273,310,541,3129,16,379,1810,78,645,18,178,6291,1041,29,16,344,348,522,3748,13,509,2543,81,588,16,181,2
52,5379,964,30,16,294,249,432,2745,14,494,2634,86,662,24,190,5410,1063,31,16,305,415,646,4225,15,379,1185,110,763,16,192,8
53,5962,1026,18,3,336,381,596,4202,15,409,1760,112,1068,29,182,5482,997,23,10,313,381,590,3882,13,369,1600,109,920,34,177,11
54,5084,969,30,14,284,217,395,2412,16,524,2672,109,905,31,184,5207,999,32,13,310,328,517,3526,19,434,1681,129,930,20,185,11
55,5851,975,24,5,322,342,531,4105,19,419,1746,104,815,22,182,4922,1008,29,10,304,342,581,3409,19,381,1513,85,785,23,182,13
